Detectado,Acuracia
person, 0.5092
person, 0.5018
person, 0.9502
person, 0.8555
person, 0.8518
person, 0.8206
person, 0.8096
person, 0.7803
person, 0.7212
person, 0.7089
person, 0.6756
person, 0.6674
person, 0.6653
person, 0.6514
person, 0.6209
person, 0.6141
person, 0.5950
person, 0.5543
person, 0.5521
person, 0.5264
person, 0.5251
person, 0.5009
person, 0.9694
person, 0.9407
person, 0.8899
person, 0.8673
person, 0.8501
person, 0.8211
person, 0.7931
person, 0.7518
person, 0.7485
person, 0.7473
person, 0.7151
person, 0.6588
person, 0.6263
person, 0.6035
person, 0.5975
person, 0.5754
person, 0.5681
person, 0.5460
person, 0.5372
person, 0.5069
person, 0.9397
person, 0.9301
person, 0.8621
person, 0.8406
person, 0.8364
person, 0.8206
person, 0.8155
person, 0.7646
person, 0.7586
person, 0.7462
person, 0.7352
person, 0.6652
person, 0.6212
person, 0.5951
person, 0.5837
person, 0.5658
person, 0.5239
person, 0.5029
person, 0.9489
person, 0.9337
person, 0.8879
person, 0.8837
person, 0.8780
person, 0.8485
person, 0.8230
person, 0.8217
person, 0.7216
person, 0.7163
person, 0.7091
person, 0.7079
person, 0.6811
person, 0.6562
person, 0.6462
person, 0.6284
person, 0.6006
person, 0.5536
person, 0.5503
person, 0.9559
person, 0.9522
person, 0.9428
person, 0.9421
person, 0.9391
person, 0.8536
person, 0.8507
person, 0.8464
person, 0.8368
person, 0.8223
person, 0.8144
person, 0.8031
person, 0.8017
person, 0.7356
person, 0.7314
person, 0.6651
person, 0.6585
person, 0.6000
person, 0.5847
person, 0.5815
person, 0.5795
person, 0.5545
person, 0.5529
person, 0.5318
person, 0.9542
person, 0.9458
person, 0.9368
person, 0.9174
person, 0.9075
person, 0.9038
person, 0.8870
person, 0.8830
person, 0.8714
person, 0.8626
person, 0.8615
person, 0.8436
person, 0.8272
person, 0.8241
person, 0.8193
person, 0.7919
